,,,,,Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
63,63,3/15/96,,DEN,W,108,87,,47,90,0.522,7,16,0.438,40,74,0.541,0.561,7,8,0.875,15,25,40,30,11,5,11,17,39,77,0.506,4,9,0.444,35,68,0.515,0.532,5,10,0.5,11,24,35,25,5,4,20,12
64,64,3/16/96,@,NJN,W,97,93,,37,89,0.416,7,19,0.368,30,70,0.429,0.455,16,19,0.842,15,32,47,20,5,9,8,25,32,84,0.381,2,5,0.4,30,79,0.38,0.393,27,37,0.73,22,36,58,21,3,10,13,24
65,65,3/18/96,@,PHI,W,98,94,,38,86,0.442,5,18,0.278,33,68,0.485,0.471,17,25,0.68,10,33,43,26,8,3,7,27,29,75,0.387,6,22,0.273,23,53,0.434,0.427,30,37,0.811,14,31,45,17,4,5,12,21
66,66,3/19/96,,SAC,W,89,67,,28,67,0.418,3,15,0.2,25,52,0.481,0.44,30,37,0.811,7,33,40,20,11,6,15,24,23,82,0.28,3,14,0.214,20,68,0.294,0.299,18,24,0.75,23,28,51,13,6,5,22,29
67,67,3/21/96,,NYK,W,107,86,,38,74,0.514,4,15,0.267,34,59,0.576,0.541,27,35,0.771,12,45,57,22,5,6,17,27,30,85,0.353,6,20,0.3,24,65,0.369,0.388,20,29,0.69,9,24,33,21,9,1,9,25
68,68,3/24/96,@,TOR,L,108,109,,43,86,0.5,6,18,0.333,37,68,0.544,0.535,16,23,0.696,16,26,42,24,6,7,12,15,42,90,0.467,11,17,0.647,31,73,0.425,0.528,14,22,0.636,20,25,45,27,9,6,11,17
69,69,3/28/96,,ATL,W,111,80,,45,83,0.542,8,16,0.5,37,67,0.552,0.59,13,20,0.65,12,31,43,32,9,7,14,28,24,74,0.324,2,14,0.143,22,60,0.367,0.338,30,39,0.769,17,25,42,9,6,3,21,18
70,70,3/30/96,,LAC,W,106,85,,36,80,0.45,6,14,0.429,30,66,0.455,0.488,28,35,0.8,19,27,46,19,10,3,15,15,37,86,0.43,5,16,0.313,32,70,0.457,0.459,6,8,0.75,16,27,43,19,9,3,21,26
71,71,4/2/96,@,MIA,W,110,92,,38,81,0.469,8,18,0.444,30,63,0.476,0.519,26,38,0.684,14,31,45,23,12,5,14,25,36,80,0.45,4,23,0.174,32,57,0.561,0.475,16,26,0.615,11,30,41,15,8,7,15,24
72,72,4/4/96,,MIA,W,100,92,,34,81,0.42,4,18,0.222,30,63,0.476,0.444,28,34,0.824,15,26,41,22,12,5,14,28,35,75,0.467,6,25,0.24,29,50,0.58,0.507,16,22,0.727,13,30,43,18,9,1,24,29
73,73,4/5/96,@,CHH,W,126,92,,47,86,0.547,13,20,0.65,34,66,0.515,0.622,19,24,0.792,14,33,47,38,8,2,17,23,33,78,0.423,3,16,0.188,30,62,0.484,0.442,23,30,0.767,8,21,29,21,13,3,19,25
74,74,4/7/96,@,ORL,W,90,86,,32,79,0.405,8,20,0.4,24,59,0.407,0.456,18,21,0.857,10,26,36,17,9,5,10,20,35,75,0.467,4,15,0.267,31,60,0.517,0.493,12,14,0.857,8,34,42,21,5,7,13,22
75,75,4/8/96,,CHH,L,97,98,,37,87,0.425,6,18,0.333,31,69,0.449,0.46,17,28,0.607,23,27,50,21,8,2,10,24,31,69,0.449,8,17,0.471,23,52,0.442,0.507,28,35,0.8,9,22,31,16,2,1,12,25
76,76,4/11/96,@,NJN,W,113,100,,42,89,0.472,6,18,0.333,36,71,0.507,0.506,23,35,0.657,26,26,52,23,8,4,18,18,43,77,0.558,4,10,0.4,39,67,0.582,0.584,10,18,0.556,13,18,31,16,8,3,20,30
77,77,4/12/96,,PHI,W,112,82,,45,83,0.542,9,25,0.36,36,58,0.621,0.596,13,14,0.929,14,24,38,28,11,5,12,22,32,71,0.451,2,17,0.118,30,54,0.556,0.465,16,23,0.696,12,19,31,17,5,1,17,14
78,78,4/14/96,@,CLE,W,98,72,,34,70,0.486,11,20,0.55,23,50,0.46,0.564,19,24,0.792,12,30,42,26,13,2,10,14,30,75,0.4,6,16,0.375,24,59,0.407,0.44,6,10,0.6,11,22,33,20,7,3,17,15
79,79,4/16/96,@,MIL,W,86,80,,33,85,0.388,4,18,0.222,29,67,0.433,0.412,16,23,0.696,18,34,52,21,4,3,14,16,34,81,0.42,3,16,0.188,31,65,0.477,0.438,9,15,0.6,10,32,42,14,7,1,10,22
80,80,4/18/96,,DET,W,110,79,,43,87,0.494,11,23,0.478,32,64,0.5,0.557,13,17,0.765,13,40,53,28,12,3,18,19,33,83,0.398,3,10,0.3,30,73,0.411,0.416,10,20,0.5,11,25,36,12,12,2,17,21
81,81,4/20/96,,IND,L,99,100,,40,90,0.444,11,25,0.44,29,65,0.446,0.506,8,13,0.615,22,26,48,27,10,6,19,31,37,74,0.5,0,2,0,37,72,0.514,0.5,26,41,0.634,11,28,39,15,14,3,17,16
82,82,4/21/96,@,WSB,W,103,93,,41,89,0.461,4,13,0.308,37,76,0.487,0.483,17,23,0.739,12,34,46,17,7,4,9,24,36,85,0.424,4,13,0.308,32,72,0.444,0.447,17,23,0.739,13,30,43,19,4,9,14,20
,,,,,72-10,8625,7621,,3293,6892,0.478,544,1349,0.403,2749,5543,0.496,0.517,1495,2004,0.746,1247,2411,3658,2033,745,345,1175,1807,2880,6428,0.448,437,1249,0.35,2443,5179,0.472,0.482,1424,1985,0.717,981,2136,3117,1592,595,312,1405,1856
